Time,Impressions,Engagements,Retweets,Replies,Likes,Profile,URL,Hashtag,Details,Follows,Media
2018-02-07 19:25:00,791,9,0,0,2,0,4,0,3,0,0
2018-02-07 20:35:00,1238,15,4,0,3,1,1,0,3,0,3
2018-02-08 16:40:00,786,9,1,0,2,0,3,0,2,0,1
2018-02-08 17:38:00,829,4,1,0,1,2,0,0,0,0,0
2018-02-08 21:10:00,1178,19,6,0,9,1,2,0,1,0,0
2018-02-09 16:16:00,131,2,1,0,1,0,0,0,0,0,0
2018-02-09 20:01:00,828,11,2,0,4,3,0,0,1,0,1
2018-02-09 21:50:00,610,4,0,0,0,0,0,0,0,0,4
2018-02-12 19:20:00,599,8,4,0,2,0,0,0,2,0,0
2018-02-12 19:47:00,722,14,1,0,6,3,0,2,2,0,0
2018-02-13 14:05:00,400,4,0,0,1,0,3,0,0,0,0
2018-02-13 18:20:00,882,7,1,0,4,0,0,0,1,1,0
