Date,Tweets,Impressions,Engagements,Retweets,Replies,Likes,Profile,URL,Hashtag,Details,Follows,Media
2020-02-07,1,1641,59,4,0,10,2,21,1,15,0,6
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,1,2097,26,7,0,6,0,7,1,4,0,1
2020-02-14,1,1322,23,1,0,9,3,4,0,0,0,6
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,1,1060,21,1,0,2,2,14,0,1,0,1
2020-02-20,1,1368,24,2,0,9,3,6,0,0,0,4
2020-02-21,1,812,10,0,0,1,1,4,1,1,0,2
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,2,3091,64,9,0,20,5,16,1,13,0,0
2020-02-27,1,693,5,1,0,1,0,2,0,0,0,1
2020-02-28,1,1194,35,5,0,9,1,7,0,0,0,13
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,1,1750,36,6,0,11,2,14,0,3,0,0
2020-03-04,2,2186,20,6,0,9,0,3,0,0,0,2
2020-03-05,3,3215,49,6,0,13,2,17,2,7,0,2
2020-03-06,4,4433,67,10,0,10,8,7,0,14,0,18
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,4,4713,92,11,0,19,8,8,1,17,0,28
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,5,4921,65,8,0,12,4,7,0,26,0,8
2020-04-09,6,7855,129,14,0,26,6,31,0,31,0,21
2020-04-10,4,5094,113,10,0,21,9,28,2,43,0,0
2020-04-11,1,1887,18,2,1,9,0,0,0,6,0,0
2020-04-12,2,1736,14,0,0,0,2,5,0,7,0,0
2020-04-13,4,8048,295,18,0,29,19,107,5,117,0,0
2020-04-14,3,2400,27,1,0,7,0,7,0,12,0,0
2020-04-15,4,4133,36,1,0,8,8,3,0,14,0,2
2020-04-16,4,5361,85,5,2,19,9,8,0,42,0,0
2020-04-17,6,15989,491,35,3,66,27,38,13,263,0,46
